image_path,label,category
handwritten\VALIDATION_22642.jpg,MATTEO,handwritten
handwritten\VALIDATION_34996.jpg,SOUSSEN,handwritten
handwritten\VALIDATION_1569.jpg,PIERRE,handwritten
handwritten\VALIDATION_17717.jpg,MARECHAL,handwritten
handwritten\VALIDATION_4650.jpg,VIGOUROUX,handwritten
handwritten\VALIDATION_36531.jpg,PAUL,handwritten
handwritten\VALIDATION_11127.jpg,LEVY,handwritten
handwritten\VALIDATION_11844.jpg,JULIEN,handwritten
handwritten\VALIDATION_8145.jpg,SIMON,handwritten
handwritten\VALIDATION_6559.jpg,SMITH,handwritten
handwritten\VALIDATION_8888.jpg,CLEMENCE,handwritten
handwritten\VALIDATION_14234.jpg,COPPA,handwritten
handwritten\VALIDATION_16710.jpg,AUBLANC,handwritten
handwritten\VALIDATION_5588.jpg,PRIVAT,handwritten
handwritten\VALIDATION_5677.jpg,VALENTIN,handwritten
handwritten\VALIDATION_12833.jpg,THEO,handwritten
handwritten\VALIDATION_25502.jpg,DOLBOIS-AUBRY,handwritten
handwritten\VALIDATION_5305.jpg,LANGLOIS-CALMEILLE,handwritten
handwritten\VALIDATION_20702.jpg,PAUL,handwritten
handwritten\VALIDATION_7605.jpg,GOUMILLOU,handwritten
handwritten\VALIDATION_7465.jpg,STEPHANE,handwritten
handwritten\VALIDATION_14018.jpg,ANTOINE,handwritten
handwritten\VALIDATION_29151.jpg,SAMSON,handwritten
handwritten\VALIDATION_24294.jpg,STANISLAS,handwritten
handwritten\VALIDATION_14957.jpg,IZAURA,handwritten
handwritten\VALIDATION_16081.jpg,ASSOUA,handwritten
handwritten\VALIDATION_19935.jpg,HARDY,handwritten
handwritten\VALIDATION_21669.jpg,ZHENG,handwritten
handwritten\VALIDATION_26146.jpg,LEA,handwritten
handwritten\VALIDATION_33199.jpg,HAMOND,handwritten
handwritten\VALIDATION_12170.jpg,BRAYELLE,handwritten
handwritten\VALIDATION_21329.jpg,NOLAN,handwritten
handwritten\VALIDATION_10509.jpg,AMANDINE,handwritten
handwritten\VALIDATION_9244.jpg,GISELE,handwritten
handwritten\VALIDATION_27318.jpg,DEPAEPE,handwritten
handwritten\VALIDATION_7525.jpg,REBECCA,handwritten
handwritten\VALIDATION_18914.jpg,LOUISE,handwritten
