image_path,label,split,category
images\train_00001d1472a8709f.png,\dot{y}=\frac{dy}{dt},train,mathwriting
images\train_00002504391b73b5.png,\phi^{*}(T^{*}N)\rightarrow T^{*}M,train,mathwriting
images\train_00003037d3a6d0ba.png,"(s,i)\ne(t,j)",train,mathwriting
images\train_0000fe986018f92a.png,(\begin{matrix}9\\ 4\end{matrix}),train,mathwriting
images\train_00011d9f03970147.png,{10^{218}}^{10}-\frac{\frac{4}{\sqrt{375}}}{179},train,mathwriting
images\train_000133cb0c856e06.png,A=\prod_{i=1}^{n}A_{i},train,mathwriting
images\train_00016221aae38d32.png,\frac{2GM}{z^{3}}\times10^{9},train,mathwriting
images\train_00020b16c6745940.png,x^{2}\equiv a,train,mathwriting
images\train_00024ca14bb2c441.png,B^{0}\rightarrow\pi^{+}\pi^{-},train,mathwriting
images\train_00024d55f9740042.png,\kappa_{t}exp(\lambda_{t}x)c_{t},train,mathwriting
images\train_0002a7f56b53a819.png,\hat{p}^{k},train,mathwriting
images\train_0002b4a256978422.png,C_{n}=\int_{0}^{4}x^{n}\rho(x)dx,train,mathwriting
images\train_0002c3b3d3ef4be0.png,V(r)=\frac{1}{2}\mu\omega^{2}r^{2},train,mathwriting
images\train_0002d658ee84ef08.png,236^{236^{236^{236^{236^{230}}}}},train,mathwriting
images\train_00039d451aa95d8d.png,\frac{d^{2}y}{dx^{2}},train,mathwriting
images\train_00049b2182fa9dc4.png,R_{ix}(t)=M_{i}A_{ix}(t)-,train,mathwriting
images\train_0004d30424e8ceb2.png,\frac{1}{\sqrt{N-3}},train,mathwriting
images\train_0004fcd8d46e5e85.png,\frac{Du}{Dt}=\frac{1}{\rho}\nabla\cdot\sigma+g,train,mathwriting
images\train_00050ff7a6a14205.png,-\frac{dy}{dx}=\frac{MU_{x}}{MU_{y}},train,mathwriting
images\train_0005375a475c49c9.png,q=(\begin{matrix}a&b\\ c&d\end{matrix}),train,mathwriting
images\train_00054c27e3d85aad.png,\frac{1/288}{(\sqrt{157}-10)},train,mathwriting
images\train_0005cd98bb3e2d89.png,\frac{\partial f}{\partial x_{j}}(x),train,mathwriting
images\train_000608f192ceb411.png,\frac{\frac{1}{5}}{2+5},train,mathwriting
images\train_000623c29c09dd53.png,\frac{dS}{dz}=0,train,mathwriting
images\train_00066b09b7c377c4.png,\hat{f_{j}},train,mathwriting
images\train_0006a2adabf109ce.png,s+3^{t}>s,train,mathwriting
images\train_00074f16d99c2767.png,g(x),train,mathwriting
images\train_0007829ef326150a.png,R(\lambda)=\frac{1}{I-\lambda K},train,mathwriting
images\train_0007f0faaa9212a6.png,1-\int_{t-r}^{t}E(t^{\prime})dt^{\prime},train,mathwriting
images\train_0008c9c4b9825660.png,(\begin{matrix}1\\ -1\\ 0\\ 0\end{matrix}),train,mathwriting
images\train_0008ec126355603e.png,2\pi a<C<2\sqrt{3}\pi a,train,mathwriting
images\train_00093d23ee46a8f2.png,A=\underline{m},train,mathwriting
images\train_0009f5d8c7671582.png,G=\prod_{i\in I}H_{i},train,mathwriting
images\train_000a4eb1002bb21d.png,v=\sqrt{\frac{ke^{2}}{mr}},train,mathwriting
images\train_000aa4c444cba3f2.png,\vartheta=-\frac{log\frac{\phi_{\varsigma_{1}}}{\phi_{\varsigma_{2}}}}{log\frac{\varsigma_{1}}{\varsigma_{2}}},train,mathwriting
images\train_000aa97a08c4ebc0.png,e^{(\frac{\Upsilon}{\phi})[1-\sqrt{1-\frac{5\phi^{5}m}{\Upsilon}}]},train,mathwriting
images\train_000aaf6c5f7aa08f.png,\phi(p)=\frac{e^{-\frac{p^{5}}{5}}}{\sqrt{5\epsilon}},train,mathwriting
images\train_000b0b9eab603b8e.png,\frac{e^{+\frac{m^{2}}{2\Phi^{2}}}}{\sqrt{2\pi}\Phi},train,mathwriting
images\train_000b441015418074.png,-\frac{d[A]}{dt}=k[A],train,mathwriting
images\train_000b81338e4af5c6.png,\hat{\alpha}<\hat{\beta},train,mathwriting
images\train_000bb64516a3f3ac.png,\beta_{i}=\frac{u_{i}}{c}=tanhw_{i},train,mathwriting
images\train_000bbfdd14ba3813.png,\int_{L}^{*},train,mathwriting
images\train_000c731674bb23b7.png,8.4\times10^{-17}seconds,train,mathwriting
images\train_000c9122cc825b30.png,A_{0}\cap A_{1}=\emptyset,train,mathwriting
images\train_000cd7b1d11083ff.png,c=-\frac{1}{6}\cdot\frac{1}{2!}=-\frac{1}{12},train,mathwriting
images\train_000cedb5d6cad7be.png,\frac{470^{10}}{7+9^{5}},train,mathwriting
images\train_000cffc280515218.png,\hat{n}_{b},train,mathwriting
images\train_000d04a77455b682.png,184+414+408^{163},train,mathwriting
images\train_000e454d52c4f910.png,2\sqrt{\frac{2}{3\pi}},train,mathwriting
images\train_000e4bf55c62b9fd.png,\int_{0}^{1}e(t)dt,train,mathwriting
images\train_000f0995e2ff36b1.png,[\begin{matrix}4&6\end{matrix}],train,mathwriting
images\train_0010034cd203e7a3.png,3N=\frac{1}{3}\nu_{m}^{3}VF,train,mathwriting
images\train_001018ef1fa64bac.png,(56+\sqrt{3})\cdot\frac{443}{156},train,mathwriting
images\train_00104621e047b624.png,t=\frac{|r|}{\sqrt{\frac{8-r^{0}}{p-0}}},train,mathwriting
images\train_0010566f69932acb.png,\frac{9}{\sqrt{9-\frac{9}{\epsilon^{2}}}},train,mathwriting
images\train_001098c88ff4b6a3.png,0.75\overline{0},train,mathwriting
images\train_0011774694ee987d.png,365-34/194^{473-5^{323}},train,mathwriting
images\train_00122275b91e7268.png,N=(\begin{matrix}n\\ 2\end{matrix}),train,mathwriting
images\train_001246fdff4accda.png,(\begin{matrix}k\\ 2\end{matrix})-m,train,mathwriting
images\train_001252704eb46b3d.png,\hat{u},train,mathwriting
images\train_0012531edd807df4.png,\overline{x}\in X,train,mathwriting
images\train_00125e64cb8dc94d.png,\tau=2\cdot(z-z_{0})/c,train,mathwriting
images\train_0012ce3c56c1c1a7.png,O(\sqrt{logn}),train,mathwriting
images\train_00133356f895f681.png,"Y^{\prime}:=\Delta([a^{\prime},b^{\prime}])",train,mathwriting
images\train_0013efcdef4457f8.png,f=\frac{g}{x^{n}}=\frac{h}{y^{m}},train,mathwriting
images\train_00142612449001b5.png,(138+406)^{\frac{2}{10}},train,mathwriting
images\train_00148cdf5ee93317.png,k=\frac{ln10}{1},train,mathwriting
images\train_00148ce643ef4c8c.png,\overline{A}=\{x|x\notin A\},train,mathwriting
images\train_0014ab1a02dbc233.png,(\begin{matrix}1&-1\\ 1&-1\end{matrix}),train,mathwriting
