dataset,image_path,label,split,source_split,is_math,width,height,timesteps,label_len,ctc_feasible
expanded,expanded/images/sample_0000.png,Information Science and Engineering,train,,0,347,32,86,35,1
expanded,expanded/images/sample_0001.png,Gradient Descent Backpropagation Optimizer,train,,0,301,32,75,42,1
expanded,expanded/images/sample_0002.png,Character and Word Error Rate Metrics,train,,0,346,32,86,37,1
expanded,expanded/images/sample_0003.png,Department of Information Science Archives,train,,0,329,32,82,42,1
expanded,expanded/images/sample_0004.png,Optical Character Recognition Engine,test,,0,288,32,72,36,1
expanded,expanded/images/sample_0005.png,Research Meeting Notes on Transformer Models,valid,,0,419,32,104,44,1
expanded,expanded/images/sample_0006.png,Statistical Data Analysis and Findings,train,,0,295,32,73,38,1
expanded,expanded/images/sample_0007.png,sigma(z) = 1 / (1 + e^(-z)),train,,0,231,32,57,27,1
expanded,expanded/images/sample_0008.png,Bidirectional Long Short Term Memory,train,,0,318,32,79,36,1
expanded,expanded/images/sample_0009.png,Research Meeting Notes on Transformer Models,valid,,0,456,32,114,44,1
expanded,expanded/images/sample_0010.png,sigma(z) = 1 / (1 + e^(-z)),train,,0,200,32,50,27,1
expanded,expanded/images/sample_0011.png,Quick Brown Fox Jumps Over Lazy Dog,train,,0,330,32,82,35,1
expanded,expanded/images/sample_0012.png,sigma(z) = 1 / (1 + e^(-z)),train,,0,225,32,56,27,1
expanded,expanded/images/sample_0013.png,Self Supervised Representation Learning,test,,0,325,32,81,39,1
expanded,expanded/images/sample_0014.png,Multi Modal Document Processing Pipeline,train,,0,299,32,74,40,1
expanded,expanded/images/sample_0015.png,P(A|B) = P(B|A)P(A) / P(B),train,,0,223,32,55,26,1
expanded,expanded/images/sample_0016.png,Deep Learning Pattern Recognition,train,,0,281,32,70,33,1
expanded,expanded/images/sample_0017.png,Vision Transformer Pretrained Decoder,train,,0,301,32,75,37,1
expanded,expanded/images/sample_0018.png,Curved Text Line Sequence Recognition,train,,0,317,32,79,37,1
expanded,expanded/images/sample_0019.png,Adaptive Histogram Equalization Filtering,test,,0,459,32,114,41,1
expanded,expanded/images/sample_0020.png,int (1 / x) dx = ln|x| + C,train,,0,196,32,49,26,1
expanded,expanded/images/sample_0021.png,e^(i * pi) + 1 = 0,train,,0,152,32,38,18,1
expanded,expanded/images/sample_0022.png,nabla x B = mu_0 * (J + epsilon_0 * dE/dt),train,,0,336,32,84,42,1
expanded,expanded/images/sample_0023.png,Multi Modal Document Processing Pipeline,train,,0,360,32,90,40,1
