image_path,label
images\sample_0000.png,Computer Vision Image Processing
images\sample_0001.png,x^2 + y^2 = z^2
images\sample_0002.png,Optical Character Recognition Engine
images\sample_0003.png,lim_{x->0} (sin x / x) = 1
images\sample_0004.png,lim_{x->0} (sin x / x) = 1
images\sample_0005.png,Deep Learning Major Project
images\sample_0006.png,E = m * c ^ 2
images\sample_0007.png,sum_{i=1}^n i = n(n+1)/2
images\sample_0008.png,Character and Word Error Rate CER
images\sample_0009.png,sum_{i=1}^n i = n(n+1)/2
images\sample_0010.png,a^2 + b^2 = c^2
images\sample_0011.png,Character and Word Error Rate CER
images\sample_0012.png,Connectionist Temporal Classification
images\sample_0013.png,Optical Character Recognition Engine
images\sample_0014.png,E = m * c ^ 2
images\sample_0015.png,lim_{x->0} (sin x / x) = 1
images\sample_0016.png,sum_{i=1}^n i = n(n+1)/2
images\sample_0017.png,PyTorch Deep Learning Pipeline
images\sample_0018.png,Deep Learning Major Project
images\sample_0019.png,Document Image Machine Translation
images\sample_0020.png,Efficient Text Recognition System
images\sample_0021.png,Document Image Machine Translation
images\sample_0022.png,d/dx (e^x) = e^x
images\sample_0023.png,Efficient Text Recognition System
images\sample_0024.png,d/dx (e^x) = e^x
images\sample_0025.png,Bidirectional LSTM Sequence Model
images\sample_0026.png,Document Image Machine Translation
images\sample_0027.png,Self Supervised Learning 2026
images\sample_0028.png,Optical Character Recognition Engine
images\sample_0029.png,lim_{x->0} (sin x / x) = 1
images\sample_0030.png,Convolutional Neural Network Architecture
images\sample_0031.png,Character and Word Error Rate CER
images\sample_0032.png,Computer Vision Image Processing
images\sample_0033.png,A . B = A & B + C^2
images\sample_0034.png,Document Image Machine Translation
images\sample_0035.png,lim_{x->0} (sin x / x) = 1
images\sample_0036.png,lim_{x->0} (sin x / x) = 1
images\sample_0037.png,lim_{x->0} (sin x / x) = 1
images\sample_0038.png,Document Image Machine Translation
images\sample_0039.png,Connectionist Temporal Classification
images\sample_0040.png,Convolutional Neural Network Architecture
images\sample_0041.png,Character and Word Error Rate CER
images\sample_0042.png,Deep Learning Major Project
images\sample_0043.png,Document Image Machine Translation
images\sample_0044.png,Deep Learning Major Project
images\sample_0045.png,sum_{i=1}^n i = n(n+1)/2
images\sample_0046.png,Optical Character Recognition Engine
images\sample_0047.png,a^2 + b^2 = c^2
images\sample_0048.png,PyTorch Deep Learning Pipeline
images\sample_0049.png,Self Supervised Learning 2026
images\sample_0050.png,lim_{x->0} (sin x / x) = 1
images\sample_0051.png,E = m * c ^ 2
images\sample_0052.png,d/dx (e^x) = e^x
images\sample_0053.png,Feature Map Extraction ResNet Backbone
images\sample_0054.png,Connectionist Temporal Classification
images\sample_0055.png,Convolutional Neural Network Architecture
images\sample_0056.png,A . B = A & B + C^2
images\sample_0057.png,Pattern Recognition Lab NMAMIT
images\sample_0058.png,Efficient Text Recognition System
images\sample_0059.png,A . B = A & B + C^2
images\sample_0060.png,Convolutional Neural Network Architecture
images\sample_0061.png,d/dx (e^x) = e^x
images\sample_0062.png,lim_{x->0} (sin x / x) = 1
images\sample_0063.png,E = m * c ^ 2
images\sample_0064.png,x^2 + y^2 = z^2
